failure_id,machine_id,failure_timestamp,component_failed,downtime_hours,failure_severity,failure_occurred,failure_within_24h,failure_within_7d,root_cause_category,root_cause_subcategory,confidence_label,engineer_verified,pre_failure_anomaly_window_hours,max_temperature_c_72h,max_vibration_x_72h,max_motor_current_a_72h,min_lubricant_quality_72h,diagnostic_summary,recommended_action
F00001,M012,2020-01-01T06:17:00,charging_port,3.84,Moderate,1,1,1,electrical_fault,battery degradation,0.95,True,72,40.99,0.482,1.189,48.94,charging_port failed after a 72-hour electrical_fault pattern connected to battery degradation. Sensor rows in that window carry related_failure_id=F00001.,check power supply and wiring
F00002,M009,2020-01-05T08:23:00,temperature_sensor,8.5,Major,1,1,1,electrical_fault,power module fault,0.99,False,24,183.16,0.312,25.0,47.53,temperature_sensor failed after a 24-hour electrical_fault pattern connected to power module fault. Sensor rows in that window carry related_failure_id=F00002.,check power supply and wiring
F00003,M009,2020-01-07T08:40:00,temperature_sensor,60.0,Critical,1,1,1,overheating,induction coil overheating,0.87,True,72,161.03,0.32,18.412,49.53,temperature_sensor failed after a 72-hour overheating pattern connected to induction coil overheating. Sensor rows in that window carry related_failure_id=F00003.,check power supply and wiring
F00004,M017,2020-01-10T08:50:00,power_relay,7.95,Moderate,1,1,1,pressure_or_airflow,lid seal leak,0.91,True,72,77.95,0.086,6.866,76.41,power_relay failed after a 72-hour pressure_or_airflow pattern connected to lid seal leak. Sensor rows in that window carry related_failure_id=F00004.,inspect component and replace if worn
F00005,M012,2020-01-10T13:20:00,blade_motor,7.46,Moderate,1,1,1,electrical_fault,charging port fault,0.77,True,24,43.68,0.493,1.346,54.33,blade_motor failed after a 24-hour electrical_fault pattern connected to charging port fault. Sensor rows in that window carry related_failure_id=F00005.,check power supply and wiring
F00006,M011,2020-01-10T14:00:00,magnetron,43.09,Critical,1,1,1,overheating,magnetron overheating,0.85,True,72,88.55,0.231,9.687,69.32,magnetron failed after a 72-hour overheating pattern connected to magnetron overheating. Sensor rows in that window carry related_failure_id=F00006.,schedule immediate service
F00007,M020,2020-01-23T04:03:00,bluetooth_module,2.1,Minor,1,1,1,sensor_or_control,bluetooth module dropouts,0.84,True,72,48.39,0.067,0.558,81.88,bluetooth_module failed after a 72-hour sensor_or_control pattern connected to bluetooth module dropouts. Sensor rows in that window carry related_failure_id=F00007.,reset and recalibrate sensor
F00008,M007,2020-01-24T15:04:47,imaging_drum,2.89,Moderate,1,1,1,blockage_or_jam,paper feed jam,0.87,False,72,204.71,0.775,11.167,42.5,imaging_drum failed after a 72-hour blockage_or_jam pattern connected to paper feed jam. Sensor rows in that window carry related_failure_id=F00008.,schedule immediate service
F00009,M017,2020-01-25T18:13:00,thermal_sensor,1.31,Minor,1,1,1,pressure_or_airflow,lid seal leak,0.82,True,72,63.47,0.078,6.151,72.61,thermal_sensor failed after a 72-hour pressure_or_airflow pattern connected to lid seal leak. Sensor rows in that window carry related_failure_id=F00009.,inspect component and replace if worn
F00010,M004,2020-01-31T01:13:14,speaker_driver,13.87,Major,1,1,1,overheating,amplifier overheating,0.92,True,72,73.89,0.348,4.287,88.17,speaker_driver failed after a 72-hour overheating pattern connected to amplifier overheating. Sensor rows in that window carry related_failure_id=F00010.,schedule immediate service
F00011,M003,2020-02-13T05:51:00,circulation_pump,16.18,Major,1,1,1,blockage_or_jam,drain restriction,0.99,False,72,59.97,0.669,9.227,72.11,circulation_pump failed after a 72-hour blockage_or_jam pattern connected to drain restriction. Sensor rows in that window carry related_failure_id=F00011.,schedule immediate service
